source_path,type,purpose,current_status,duplicate_of,repo_destination,action,reason,secret_or_large_file_risk,test_required
apps/api/alembic/versions/0026_glow_progression_spine.py,repo-code,mission code change,modified,,apps/api/alembic/versions/0026_glow_progression_spine.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/api/v1/cognition.py,repo-code,mission code change,modified,,apps/api/app/api/v1/cognition.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/api/v1/feasibility.py,repo-code,mission code change,modified,,apps/api/app/api/v1/feasibility.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/api/v1/living.py,repo-code,mission code change,modified,,apps/api/app/api/v1/living.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/living/catalog.py,repo-code,mission code change,modified,,apps/api/app/living/catalog.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/living/service.py,repo-code,mission code change,modified,,apps/api/app/living/service.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/services/auth_service.py,repo-code,mission code change,modified,,apps/api/app/services/auth_service.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/tests/test_am_projects.py,repo-code,mission code change,modified,,apps/api/app/tests/test_am_projects.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/tests/test_auth.py,repo-code,mission code change,modified,,apps/api/app/tests/test_auth.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/tests/test_consultations.py,repo-code,mission code change,modified,,apps/api/app/tests/test_consultations.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/tests/test_demo_seed_consultation.py,repo-code,mission code change,modified,,apps/api/app/tests/test_demo_seed_consultation.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/tests/test_live_universe.py,repo-code,mission code change,modified,,apps/api/app/tests/test_live_universe.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/tests/test_sol_contract_routes.py,repo-code,mission code change,modified,,apps/api/app/tests/test_sol_contract_routes.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/tests/test_sol_living_system.py,repo-code,mission code change,modified,,apps/api/app/tests/test_sol_living_system.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/app/tests/test_track_a_vertical_slice.py,repo-code,mission code change,modified,,apps/api/app/tests/test_track_a_vertical_slice.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/e2e/talk.spec.ts,repo-code,mission code change,modified,,apps/web/e2e/talk.spec.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/e2e/track-a-mobile-webkit.spec.ts,repo-code,mission code change,modified,,apps/web/e2e/track-a-mobile-webkit.spec.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/bridge/v197Events.ts,repo-code,mission code change,modified,,apps/web/src/bridge/v197Events.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/bridge/v197Hydration.ts,repo-code,mission code change,modified,,apps/web/src/bridge/v197Hydration.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/bridge/v197Polish.ts,repo-code,mission code change,modified,,apps/web/src/bridge/v197Polish.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/bridge/v197StarBrain.ts,repo-code,mission code change,modified,,apps/web/src/bridge/v197StarBrain.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/bridge/v43StarBrainRuntime.js,repo-code,mission code change,modified,,apps/web/src/bridge/v43StarBrainRuntime.js,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/v197/contract.ts,repo-code,mission code change,modified,,apps/web/src/v197/contract.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/v197/phase1-host.test.ts,repo-code,mission code change,modified,,apps/web/src/v197/phase1-host.test.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/v197/track-a-actions.test.ts,repo-code,mission code change,modified,,apps/web/src/v197/track-a-actions.test.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/v197/track-a-hydration.test.ts,repo-code,mission code change,modified,,apps/web/src/v197/track-a-hydration.test.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/v197/v43-star-brain-source.test.ts,repo-code,mission code change,modified,,apps/web/src/v197/v43-star-brain-source.test.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
docs/release/v197-control-matrix.json,repo-code,mission code change,modified,,docs/release/v197-control-matrix.json,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
infra/scripts/seed-demo-nur.sh,repo-code,mission code change,modified,,infra/scripts/seed-demo-nur.sh,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/api/alembic/versions/0031_six_star_systems.py,repo-code,mission code change,new,,apps/api/alembic/versions/0031_six_star_systems.py,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/e2e/v8-cpu-budget.spec.ts,repo-code,mission code change,new,,apps/web/e2e/v8-cpu-budget.spec.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/e2e/v8-star-brain-perf.spec.ts,repo-code,mission code change,new,,apps/web/e2e/v8-star-brain-perf.spec.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/e2e/v8-star-field.spec.ts,repo-code,mission code change,new,,apps/web/e2e/v8-star-field.spec.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/e2e/v9-state-census.spec.ts,repo-code,mission code change,new,,apps/web/e2e/v9-state-census.spec.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/e2e/v9-ui-census.spec.ts,repo-code,mission code change,new,,apps/web/e2e/v9-ui-census.spec.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/bridge/v197StarField.ts,repo-code,mission code change,new,,apps/web/src/bridge/v197StarField.ts,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
apps/web/src/styles/v197-holographic.css,repo-code,mission code change,new,,apps/web/src/styles/v197-holographic.css,INTEGRATE,already in repository architecture; part of the six-System / UI / migration work,none,yes
docs/v8,docs/evidence,"cinematic runtime audit, rubric, freeze record",untracked 23KB,,docs/v8,INTEGRATE,small text evidence that documents why the code changed,none,no
docs/v9,docs/evidence,"UI census, flaw ledger, benchmark ledger",untracked 27KB,,docs/v9,INTEGRATE,small text evidence that documents why the code changed,none,no
audit-output,docs/evidence,prior forensic audit ledgers,untracked 2MB,,audit-output,INTEGRATE,small text evidence that documents why the code changed,none,no
proof/100,proof-media,earlier-mission screenshots,untracked 2MB,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 2MB,no
proof/100-delta,proof-media,earlier-mission screenshots,untracked 30MB,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 30MB,no
proof/fresh-signup,proof-media,earlier-mission screenshots,untracked 3MB,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 3MB,no
